Customer ID,Age,Gender,Name,Income Level,Location,Loyalty Program,Purchase Frequency,Mail ID
C0028,73,Male,Alex Hughes,"25,000-49,999",Bangalore,Yes,High,johnsonjustin@example.net
C0029,53,Female,Mrs. Ashley Blair MD,"25,000-49,999",Mumbai,Yes,Medium,yharper@example.org
C0030,80,Male,Julia Holland,"100,000+",Chennai,Yes,Low,brandonclements@example.org
C0031,52,Male,Philip Bailey,"100,000+",Mumbai,Yes,Low,jamesdavies@example.net
C0032,24,Female,Joseph Williams,"<25,000",Mumbai,Yes,Low,amymiller@example.com
C0033,83,Female,Patrick Smith,"25,000-49,999",Mumbai,No,High,hallmelissa@example.com
C0034,68,Male,Amanda Newton,"25,000-49,999",Bangalore,No,High,ymoore@example.com
C0035,58,Female,Jennifer Savage,"<25,000",Mumbai,Yes,High,harrisvicki@example.org
C0036,80,Male,Brian Lee,"50,000-74,999",Delhi,Yes,Low,ethandavis@example.net
C0037,50,Female,Christina Lopez,"25,000-49,999",Bangalore,No,Medium,kimberly44@example.org
C0038,68,Female,Alexandra Gill,"75,000-99,999",Chennai,No,High,alanhale@example.com
C0039,27,Female,Michelle Stone,"<25,000",Bangalore,No,High,qstout@example.com
C0040,63,Female,Eric Bass,"100,000+",Chennai,No,Medium,john80@example.net
C0041,49,Female,Adam Hawkins,"25,000-49,999",Bangalore,Yes,High,christopher64@example.org
C0042,45,Female,Travis Cunningham,"50,000-74,999",Mumbai,No,High,linda58@example.com
C0043,25,Male,Alexa Bird,"100,000+",Mumbai,No,Low,navarroshawn@example.org
C0044,39,Male,Elizabeth Zimmerman,"50,000-74,999",Chennai,No,Low,elizabethvega@example.net
C0045,76,Male,Paul Ball,"100,000+",Bangalore,No,Medium,williamschristina@example.net
C0046,40,Male,James Lewis,"25,000-49,999",Bangalore,No,High,lisasanders@example.org
C0047,55,Male,Mr. Justin Rose,"50,000-74,999",Chennai,Yes,Medium,michaelstevens@example.org
C0048,42,Male,Kenneth Obrien,"25,000-49,999",Mumbai,No,Medium,ytucker@example.org
C0049,72,Female,Gloria Duncan,"50,000-74,999",Bangalore,Yes,Low,sallybrown@example.org
C0050,70,Male,Michael Kirk,"50,000-74,999",Bangalore,No,Medium,drewbray@example.com
C0051,58,Male,Nicole Swanson,"25,000-49,999",Hyderabad,No,Low,ibernard@example.net
C0052,45,Male,Melissa Cook,"100,000+",Hyderabad,No,Medium,trujillomiguel@example.org
C0053,45,Female,Miguel Choi,"75,000-99,999",Mumbai,No,High,ashley36@example.net
C0054,76,Male,Sean Long,"100,000+",Bangalore,Yes,High,lestermeredith@example.net
C0055,48,Male,Robert Lewis,"50,000-74,999",Chennai,Yes,Medium,sean44@example.net
C0056,41,Male,Cindy Martinez,"25,000-49,999",Chennai,No,High,hpollard@example.net
C0057,79,Female,Stephanie Larsen,"75,000-99,999",Bangalore,No,Low,johngraham@example.org
C0058,30,Male,Paul Tran,"100,000+",Bangalore,No,High,coxscott@example.net
C0059,70,Male,Michael Martinez,"<25,000",Chennai,Yes,Medium,gabrielle57@example.net
C0060,84,Male,Michelle Walter,"50,000-74,999",Delhi,Yes,Medium,xjackson@example.com
C0061,25,Male,Tracy Weber,"75,000-99,999",Hyderabad,No,Low,janet57@example.org
C0062,34,Female,Lindsay Spence,"<25,000",Chennai,No,Low,tfritz@example.net
C0063,68,Female,Barbara Simmons,"<25,000",Chennai,No,Low,amanda55@example.org
C0064,56,Male,Elizabeth Sloan,"75,000-99,999",Hyderabad,Yes,Low,pbartlett@example.com
C0065,43,Male,Sheryl Park,"<25,000",Chennai,No,Medium,hernandezshannon@example.org
C0066,22,Female,Paul Robinson,"75,000-99,999",Delhi,No,High,albertcruz@example.net
C0067,55,Female,Elizabeth Bishop,"<25,000",Hyderabad,No,Low,harrisricky@example.net
C0068,51,Male,Megan Vincent,"75,000-99,999",Mumbai,Yes,Medium,amandagraham@example.org
C0069,28,Female,Kimberly Brown,"25,000-49,999",Delhi,Yes,High,lesliearnold@example.com
C0070,32,Female,Adrian Moreno,"75,000-99,999",Hyderabad,No,High,martinezjohn@example.net
C0071,78,Female,David Rice,"75,000-99,999",Hyderabad,No,High,znguyen@example.com
C0072,33,Male,Jacob Ellison,"25,000-49,999",Bangalore,No,Low,jenniferthomas@example.net
C0073,41,Female,Crystal Martinez MD,"25,000-49,999",Delhi,Yes,Low,williamavila@example.org
C0074,52,Female,Kyle Smith,"50,000-74,999",Delhi,Yes,Medium,pmarsh@example.com
C0075,72,Male,Brian Poole,"25,000-49,999",Hyderabad,Yes,Low,christopher55@example.org
C0076,34,Female,David Lewis,"25,000-49,999",Chennai,No,High,blacktimothy@example.org
C0077,38,Male,Peter Meza,"100,000+",Chennai,No,Medium,xgonzalez@example.com
C0078,81,Male,Samuel Garza,"25,000-49,999",Delhi,Yes,Low,davidtaylor@example.com
C0079,62,Male,Christopher Smith,"<25,000",Bangalore,No,Low,rrusso@example.org
C0080,44,Female,Rebecca Villanueva,"100,000+",Bangalore,Yes,Medium,anita24@example.com
C0081,21,Female,Christopher Lawrence,"50,000-74,999",Bangalore,Yes,Low,woodandrew@example.org
C0082,68,Male,Douglas Miller,"<25,000",Chennai,No,Low,emilyhensley@example.com
C0083,22,Female,Karen Sanders,"25,000-49,999",Delhi,Yes,Medium,robertsimmons@example.org
C0084,25,Male,David Schneider,"<25,000",Chennai,Yes,High,christian34@example.com
C0085,27,Male,Amy Wise,"25,000-49,999",Chennai,No,Medium,lbennett@example.com
C0086,27,Female,Chase Perez,"75,000-99,999",Mumbai,Yes,High,velazqueztimothy@example.org
C0087,43,Female,Nichole Kelly,"100,000+",Chennai,No,Medium,tnewman@example.net
C0088,78,Male,Kenneth Ford,"100,000+",Delhi,No,Low,jody53@example.org
C0089,41,Female,Laura Ortiz,"25,000-49,999",Bangalore,Yes,Low,elizabeth33@example.net
C0090,27,Female,Lindsay Johnson,"100,000+",Hyderabad,No,High,sarah24@example.org
C0091,25,Male,Anthony Davis,"75,000-99,999",Chennai,No,High,bsmith@example.net
C0092,41,Female,Jeffrey Peters,"75,000-99,999",Hyderabad,Yes,Medium,wchen@example.net
C0093,52,Female,James Flynn,"50,000-74,999",Mumbai,No,High,calebcooper@example.org
C0094,33,Male,Brian Green,"25,000-49,999",Bangalore,No,Medium,othomas@example.net
C0095,36,Male,Matthew Conner,"50,000-74,999",Delhi,Yes,Medium,rachaelrichard@example.org
C0096,76,Male,Cynthia Wilson,"100,000+",Delhi,Yes,Medium,christine27@example.com
C0097,56,Female,Stefanie Lewis,"100,000+",Chennai,Yes,Low,jonesjacqueline@example.org
C0098,49,Male,Franklin Klein,"50,000-74,999",Chennai,No,Low,welchtyler@example.net
C0099,77,Female,Leah Roth,"75,000-99,999",Bangalore,No,High,ppowell@example.org
C00100,43,Male,Gloria Conner,"50,000-74,999",Chennai,Yes,Medium,alexandra01@example.com
C00101,39,Male,Carly Tucker,"<25,000",Bangalore,Yes,High,dustinward@example.com
C00102,60,Female,Alexander Powell,"25,000-49,999",Delhi,Yes,Medium,carolyn82@example.net
C00103,65,Female,Brian Martinez,"75,000-99,999",Delhi,Yes,Medium,richard29@example.com
C00104,52,Female,Mark Taylor Jr.,"75,000-99,999",Mumbai,No,Low,oherrera@example.net
C00105,22,Female,Heather Davis,"<25,000",Mumbai,No,High,amy49@example.net
C00106,40,Male,Shannon Phillips,"<25,000",Delhi,Yes,Low,jennifer65@example.com
C00107,25,Female,Jonathon Hensley,"25,000-49,999",Chennai,No,Low,gavin41@example.com
C00108,80,Male,Travis Diaz,"25,000-49,999",Hyderabad,No,Medium,spark@example.net
C00109,22,Male,Tony Frey,"100,000+",Delhi,No,High,monroekevin@example.net
C00110,37,Female,Jeffrey Collins,"<25,000",Delhi,No,High,jacquelinewallace@example.org
C00111,65,Male,April Wilkinson,"75,000-99,999",Delhi,No,Low,hannah95@example.com
C00112,51,Male,Jennifer Faulkner,"50,000-74,999",Hyderabad,Yes,Low,charlesthomas@example.org
C00113,84,Female,Tyrone Holmes,"100,000+",Hyderabad,Yes,Medium,zrangel@example.org
C00114,23,Male,Cindy Thornton,"25,000-49,999",Bangalore,No,Medium,sarahking@example.com
C00115,81,Male,Jacob Hall,"100,000+",Delhi,Yes,Medium,jennifer76@example.net
C00116,47,Male,Nicholas Moore,"50,000-74,999",Chennai,Yes,High,deborah94@example.net
C00117,73,Male,Ernest Foster,"50,000-74,999",Delhi,No,Low,terri90@example.net
C00118,40,Male,Linda Ruiz DVM,"<25,000",Mumbai,No,Low,thamilton@example.com
C00119,78,Male,Tammy Wu,"75,000-99,999",Hyderabad,No,Medium,irichards@example.com
C00120,33,Male,Dr. James Williams,"<25,000",Hyderabad,No,Medium,peter45@example.org
C00121,45,Male,Mary Blackwell,"100,000+",Bangalore,Yes,Low,michaellam@example.com
C00122,35,Male,Keith Smith,"<25,000",Delhi,No,Low,jsmith@example.net
C00123,24,Male,James Rowe,"75,000-99,999",Bangalore,No,Low,ffleming@example.org
C00124,53,Male,Mrs. Linda Williams,"75,000-99,999",Delhi,Yes,Low,nicole79@example.net
C00125,33,Female,Brandon Thomas,"<25,000",Mumbai,No,Low,joseph65@example.net
C00126,49,Male,Brian Hensley,"100,000+",Bangalore,Yes,Medium,wpeters@example.net
C00127,70,Female,Richard Ramirez,"75,000-99,999",Chennai,No,High,robert44@example.org
C00128,68,Male,Edward Jones,"100,000+",Mumbai,No,High,andrew45@example.net
C00129,52,Male,Steven Baker,"50,000-74,999",Chennai,No,Medium,gutierrezscott@example.org
C00130,71,Male,Stephanie White,"100,000+",Hyderabad,No,Low,oevans@example.net
C00131,49,Female,Courtney Johnson,"75,000-99,999",Chennai,No,High,carlnielsen@example.com
C00132,79,Male,Peter Bush,"50,000-74,999",Mumbai,No,Medium,erinfranklin@example.net
C00133,39,Female,Javier Johnson,"25,000-49,999",Chennai,No,Medium,jamesperez@example.com
C00134,57,Male,Sarah Johns,"25,000-49,999",Mumbai,No,Low,jerome61@example.org
C00135,70,Male,Jennifer Daniels,"<25,000",Delhi,Yes,High,grantsuzanne@example.com
C00136,67,Female,Paula Mack,"50,000-74,999",Hyderabad,No,Medium,christina88@example.org
C00137,36,Female,Jamie Raymond,"25,000-49,999",Bangalore,Yes,Low,alexbrown@example.net
C00138,80,Female,Scott Scott,"100,000+",Mumbai,Yes,Low,eric67@example.org
C00139,76,Female,James Flores,"50,000-74,999",Mumbai,No,Low,jessica28@example.org
C00140,54,Female,Joyce Brown,"50,000-74,999",Delhi,No,High,brittanyleonard@example.net
C00141,50,Female,Leonard Kelly,"75,000-99,999",Chennai,Yes,High,parsonssarah@example.com
C00142,29,Male,Andrew Harper,"50,000-74,999",Mumbai,No,Low,zgentry@example.net
C00143,83,Male,Stacy Wilson,"75,000-99,999",Chennai,No,Medium,jacobwilliams@example.org
C00144,34,Female,Daniel Scott,"25,000-49,999",Bangalore,No,Medium,walkerwilliam@example.org
C00145,44,Male,Angelica Price,"25,000-49,999",Delhi,No,High,orobles@example.net
C00146,45,Female,Alex Valdez,"100,000+",Chennai,Yes,Low,wglover@example.org
C00147,52,Male,Melissa Wilson,"100,000+",Delhi,Yes,Medium,pattersonbrian@example.net
C00148,49,Male,Mr. Jeffrey Skinner,"100,000+",Chennai,No,Medium,isabella10@example.org
C00149,81,Female,Veronica Shannon,"50,000-74,999",Hyderabad,No,High,hluna@example.org
C00150,27,Female,Mitchell Hanson,"100,000+",Hyderabad,Yes,Medium,agreer@example.net
C00151,28,Male,Michelle Ward,"<25,000",Bangalore,Yes,High,keith40@example.org
C00152,66,Female,Joy West,"75,000-99,999",Bangalore,No,Low,mike18@example.org
C00153,67,Male,Dylan Woods,"100,000+",Mumbai,Yes,Medium,lindsaypalmer@example.net
C00154,55,Female,Crystal Hicks,"<25,000",Delhi,Yes,High,brady29@example.com
C00155,68,Male,Amanda Torres,"100,000+",Bangalore,No,Low,james48@example.org
C00156,21,Female,Patricia Barrett,"100,000+",Hyderabad,No,High,donna50@example.net
C00157,42,Male,Brian Ramsey,"25,000-49,999",Chennai,Yes,Medium,robert30@example.com
C00158,34,Female,Christopher Dixon,"<25,000",Delhi,No,Medium,srollins@example.org
C00159,29,Female,Melinda Schneider,"50,000-74,999",Chennai,Yes,Low,gomezerin@example.net
C00160,32,Female,Lisa Allen,"<25,000",Bangalore,Yes,Low,vmoore@example.org
C00161,35,Male,Micheal Jackson,"25,000-49,999",Delhi,No,High,kellygraham@example.org
C00162,64,Male,Kim Logan,"25,000-49,999",Mumbai,No,Medium,lindalowe@example.org
C00163,23,Female,Patrick Stevens,"75,000-99,999",Delhi,No,Medium,yhouston@example.com
C00164,34,Male,Richard Lin,"25,000-49,999",Mumbai,No,High,ronald74@example.net
C00165,67,Female,Adam Martinez,"<25,000",Hyderabad,No,Low,armstrongjocelyn@example.org
C00166,57,Female,Kristina Parker,"75,000-99,999",Hyderabad,Yes,High,mistyray@example.com
C00167,61,Male,Becky Barton,"<25,000",Bangalore,Yes,Low,ryan66@example.net
C00168,53,Female,Maurice Alvarez,"<25,000",Hyderabad,No,Low,morrismorgan@example.net
C00169,62,Female,William Cantrell,"100,000+",Hyderabad,No,Medium,fnielsen@example.net
C00170,53,Female,David Harrison,"25,000-49,999",Mumbai,Yes,High,gsmith@example.com
C00171,34,Female,Clifford Bruce,"50,000-74,999",Mumbai,No,High,kimkatrina@example.com
C00172,68,Female,Kayla Perez,"<25,000",Bangalore,No,High,david56@example.org
C00173,45,Male,Derrick Green,"25,000-49,999",Delhi,No,High,rreyes@example.com
C00174,71,Female,Michelle Bell,"25,000-49,999",Delhi,Yes,Medium,lamalfred@example.net
C00175,39,Female,Brittney Monroe,"25,000-49,999",Bangalore,No,High,brianmitchell@example.org
C00176,53,Male,Brian Smith,"<25,000",Bangalore,Yes,High,myerspam@example.net
C00177,63,Male,Amber Black,"<25,000",Hyderabad,No,Medium,brett40@example.net
C00178,81,Male,Tami Hayes,"50,000-74,999",Chennai,Yes,Medium,sydney61@example.org
C00179,46,Female,Drew Riddle,"75,000-99,999",Delhi,No,Medium,archerrichard@example.net
C00180,72,Male,William Powell,"50,000-74,999",Hyderabad,No,High,sfernandez@example.org
C00181,37,Male,Alyssa Parker,"<25,000",Chennai,Yes,Low,vmunoz@example.com
C00182,76,Male,Tracy Anderson,"<25,000",Mumbai,Yes,Medium,gina78@example.org
C00183,48,Female,Tiffany Smith,"75,000-99,999",Hyderabad,No,Medium,justin11@example.org
C00184,60,Male,Jorge Johnson,"50,000-74,999",Delhi,No,High,dburke@example.org
C00185,84,Male,Michelle Villanueva,"100,000+",Delhi,Yes,Medium,heather52@example.com
C00186,40,Male,Karen Brooks,"75,000-99,999",Chennai,No,Medium,xgordon@example.com
C00187,52,Female,Garrett Cantrell,"100,000+",Hyderabad,No,Low,flawrence@example.com
C00188,33,Female,Brianna Harvey,"100,000+",Hyderabad,No,Medium,ellisontyler@example.org
C00189,35,Female,Virginia Rodriguez,"<25,000",Chennai,Yes,Low,leonardnicole@example.org
C00190,22,Male,Samantha Hernandez,"100,000+",Mumbai,Yes,Low,katherine44@example.org
C00191,26,Male,Wendy Patterson,"25,000-49,999",Hyderabad,Yes,Medium,arianabeasley@example.net
C00192,45,Male,Alyssa Fuller,"100,000+",Mumbai,No,High,burgessgerald@example.net
C00193,59,Female,Sarah Russell,"100,000+",Bangalore,No,Medium,james41@example.com
C00194,60,Female,Cory Johnson,"75,000-99,999",Delhi,No,High,williamsonpamela@example.com
C00195,53,Female,Tracy Fisher,"50,000-74,999",Mumbai,No,High,carterluke@example.net
C00196,29,Female,Keith Stein,"50,000-74,999",Mumbai,No,Low,richardrussell@example.org
C00197,70,Male,Sheila Huff,"<25,000",Bangalore,No,Medium,margaretthomas@example.org
C00198,32,Female,Justin Valenzuela,"100,000+",Bangalore,Yes,High,smithsteven@example.org
C00199,39,Female,Amanda Barry,"50,000-74,999",Hyderabad,No,Low,prollins@example.org
C00200,37,Female,Daniel Flores,"<25,000",Chennai,No,Medium,iwagner@example.org
C00201,49,Female,Ronald Jones,"75,000-99,999",Bangalore,No,Medium,robert14@example.com
C00202,73,Male,Charles Martinez,"25,000-49,999",Hyderabad,No,Low,baileybrandon@example.com
C00203,21,Male,Jessica Eaton,"<25,000",Chennai,Yes,Medium,davisdaniel@example.org
C00204,30,Female,Molly Brown,"75,000-99,999",Mumbai,Yes,Medium,zjohnston@example.org
C00205,30,Male,Jordan Richards,"100,000+",Bangalore,Yes,High,taragarrett@example.net
C00206,28,Male,Cindy Snyder,"<25,000",Bangalore,Yes,Medium,john82@example.org
C00207,53,Male,Kristin Webb,"75,000-99,999",Hyderabad,Yes,Medium,carla38@example.com
C00208,59,Female,Kristina Peters,"75,000-99,999",Bangalore,Yes,Medium,dbernard@example.com
C00209,83,Male,Patricia Johnson,"50,000-74,999",Bangalore,No,Low,robincruz@example.com
C00210,51,Male,Ralph Hill,"25,000-49,999",Chennai,Yes,Medium,marymitchell@example.com
C00211,38,Female,Virginia Luna,"75,000-99,999",Bangalore,Yes,Low,kathleenclark@example.com
C00212,29,Female,Renee Johnson,"100,000+",Chennai,Yes,Medium,penny08@example.net
C00213,49,Female,Cheyenne Martinez,"25,000-49,999",Mumbai,No,Low,tmartinez@example.net
C00214,66,Male,Lisa Schneider,"<25,000",Hyderabad,Yes,Medium,henryjacob@example.net
C00215,58,Male,Richard Edwards,"75,000-99,999",Delhi,Yes,Low,fhebert@example.com
C00216,76,Female,Rebecca Patton,"75,000-99,999",Bangalore,Yes,Low,julie60@example.org
C00217,41,Female,Olivia Stevenson,"50,000-74,999",Chennai,No,Medium,bwilliams@example.org
C00218,27,Female,Patrick Young,"<25,000",Chennai,Yes,Low,usingh@example.net
C00219,27,Female,Kathy Collins,"<25,000",Chennai,Yes,Medium,david20@example.org
C00220,22,Female,Judith Smith,"100,000+",Hyderabad,No,Medium,oscarrussell@example.com
C00221,41,Female,Mrs. Stacey Ayers,"100,000+",Delhi,No,High,david06@example.net
C00222,33,Male,Sarah Garcia,"25,000-49,999",Chennai,Yes,Low,heatherdoyle@example.com
C00223,81,Male,Ann Rios,"100,000+",Bangalore,No,Low,erikabeasley@example.org
C00224,38,Male,Donald Moran,"<25,000",Hyderabad,Yes,High,wevans@example.net
C00225,66,Male,Kim Dudley,"75,000-99,999",Chennai,No,High,adrianguzman@example.org
C00226,60,Male,Nicholas Rogers,"<25,000",Chennai,No,Low,amy82@example.org
C00227,50,Female,Luke Morris,"25,000-49,999",Mumbai,Yes,Low,susanware@example.org
C00228,76,Female,Leslie Schmitt,"25,000-49,999",Bangalore,Yes,High,chavezkenneth@example.net
C00229,23,Male,Kevin Yates,"25,000-49,999",Delhi,No,Low,john79@example.com
C00230,46,Male,Jessica Mitchell,"50,000-74,999",Delhi,No,High,michelle99@example.com
C00231,50,Female,Sandra Nelson,"25,000-49,999",Hyderabad,Yes,High,beckershannon@example.com
C00232,72,Male,Bonnie Dillon,"<25,000",Delhi,No,High,ginapetty@example.net
C00233,23,Male,John Fernandez,"50,000-74,999",Delhi,Yes,High,johnsoncheryl@example.org
C00234,35,Female,Diane Phillips,"75,000-99,999",Chennai,No,Low,tiffanyschwartz@example.net
C00235,30,Female,Mariah Watson,"50,000-74,999",Mumbai,Yes,Low,bowmantiffany@example.net
C00236,49,Male,Douglas Neal,"50,000-74,999",Mumbai,Yes,High,edavis@example.net
C00237,54,Male,Zachary Wong,"25,000-49,999",Bangalore,No,High,davisjohn@example.net
C00238,67,Female,Erika Greer DDS,"75,000-99,999",Bangalore,No,Low,joshua30@example.org
C00239,50,Male,Jennifer Jackson,"100,000+",Mumbai,Yes,Medium,ashley31@example.org
C00240,43,Female,Deanna Campbell,"<25,000",Chennai,No,High,jonathanpark@example.org
C00241,76,Male,Justin Arnold,"75,000-99,999",Chennai,Yes,High,brownstephanie@example.com
C00242,78,Female,Roger Johnson,"50,000-74,999",Bangalore,No,Low,sgonzales@example.net
C00243,76,Female,Thomas Tucker,"75,000-99,999",Hyderabad,No,Medium,larsenalexander@example.com
C00244,72,Male,Emily Wells,"100,000+",Bangalore,Yes,High,dianagarcia@example.com
C00245,58,Female,Michael Donaldson,"100,000+",Hyderabad,No,High,uhouston@example.com
C00246,45,Male,Ryan Romero,"100,000+",Bangalore,Yes,Medium,andrewvincent@example.net
C00247,57,Female,Kristine Russell,"50,000-74,999",Delhi,No,High,susan84@example.net
C00248,79,Male,Stacey Hart,"25,000-49,999",Delhi,No,High,willischarles@example.com
C00249,50,Female,Gina Rodgers,"25,000-49,999",Bangalore,Yes,Low,christinaknight@example.net
C00250,47,Male,Sherry Wells,"75,000-99,999",Chennai,Yes,Low,susanrivera@example.net
C00251,57,Female,David Hunt,"50,000-74,999",Delhi,Yes,High,amanda52@example.net
C00252,37,Female,Logan White,"<25,000",Hyderabad,Yes,Medium,david05@example.com
C00253,82,Male,Brian Smith,"<25,000",Hyderabad,Yes,High,carrollallen@example.org
C00254,36,Male,Joseph Gonzales,"<25,000",Delhi,No,Medium,laura86@example.com
C00255,49,Female,Mark Gonzalez,"50,000-74,999",Hyderabad,Yes,High,adampeterson@example.net
C00256,29,Male,David Atkins,"50,000-74,999",Mumbai,No,Medium,anthony25@example.net
C00257,52,Female,Margaret Bowman,"50,000-74,999",Hyderabad,No,Medium,ryanjackson@example.org
C00258,31,Female,Kimberly Potts,"<25,000",Mumbai,Yes,High,lindseyshannon@example.net
C00259,60,Female,Kenneth Webster,"50,000-74,999",Hyderabad,Yes,High,kellybecker@example.net
C00260,84,Female,Steven Lopez,"<25,000",Delhi,No,Medium,raymond63@example.net
C00261,70,Male,Joy Lopez,"<25,000",Bangalore,No,Medium,morganrussell@example.org
C00262,69,Female,Caroline Martinez,"<25,000",Bangalore,No,High,uayala@example.net
C00263,81,Male,Amanda Jackson,"50,000-74,999",Chennai,Yes,Low,loricarey@example.net
C00264,56,Female,Cynthia Wright,"25,000-49,999",Delhi,Yes,Medium,uclayton@example.org
C00265,67,Female,Matthew Frazier,"100,000+",Bangalore,No,Medium,eric93@example.net
C00266,84,Female,Frank Jones,"100,000+",Mumbai,No,Low,michael85@example.com
C00267,53,Female,Timothy Watkins,"100,000+",Chennai,Yes,High,candice23@example.net
C00268,64,Male,Kevin Perry,"50,000-74,999",Delhi,Yes,High,victoria26@example.net
C00269,80,Female,Valerie Rodriguez,"100,000+",Bangalore,No,Low,walkerphillip@example.net
C00270,29,Male,Marissa Ware,"75,000-99,999",Chennai,No,Low,lowen@example.org
C00271,44,Female,Michael Hanna,"50,000-74,999",Chennai,Yes,Medium,christine11@example.org
C00272,26,Male,Steven Wilson,"50,000-74,999",Bangalore,No,High,mark05@example.org
C00273,41,Female,Julia Jackson,"75,000-99,999",Chennai,Yes,High,drakeraven@example.com
C00274,41,Female,David Gentry,"<25,000",Bangalore,No,High,dkaufman@example.org
C00275,76,Male,Michael Boyle,"100,000+",Chennai,No,High,michaelchristensen@example.com
C00276,27,Male,Heather Johnson,"100,000+",Chennai,Yes,High,mitchellbryan@example.net
C00277,28,Female,Rhonda Lyons,"25,000-49,999",Hyderabad,Yes,Medium,ashleyhayes@example.com
C00278,57,Male,John Scott,"100,000+",Mumbai,Yes,High,tthompson@example.org
C00279,67,Female,Dennis Ramirez,"100,000+",Bangalore,Yes,High,xbush@example.net
C00280,83,Male,Amy Wright,"100,000+",Chennai,Yes,Low,millerlauren@example.org
C00281,81,Female,Mrs. Cassandra Williams DDS,"<25,000",Bangalore,Yes,Low,millerbruce@example.com
C00282,68,Male,Dr. Beverly Steele,"<25,000",Bangalore,No,Low,adam21@example.net
C00283,83,Female,Melanie Sanders,"75,000-99,999",Mumbai,Yes,High,xwhite@example.net
C00284,37,Male,Claudia Walker,"100,000+",Delhi,Yes,High,enunez@example.org
C00285,25,Female,Eric Ball,"75,000-99,999",Chennai,No,High,schmidtkimberly@example.net
C00286,68,Male,David Oneill,"100,000+",Bangalore,No,High,georgeporter@example.net
C00287,21,Female,Mr. Charles Powers,"<25,000",Mumbai,No,Low,trevorfoster@example.org
C00288,55,Male,Amanda Cox,"<25,000",Bangalore,No,High,virginia37@example.org
C00289,42,Male,Thomas Smith,"<25,000",Delhi,Yes,High,bsullivan@example.org
C00290,54,Male,Victor Potter,"100,000+",Bangalore,Yes,Medium,chrissaunders@example.com
C00291,51,Male,Michael Santiago,"75,000-99,999",Chennai,Yes,High,wagnerrachel@example.net
C00292,75,Female,Chelsea Sawyer,"50,000-74,999",Bangalore,Yes,High,kyle81@example.com
C00293,63,Female,Elizabeth Shaw,"<25,000",Bangalore,No,Medium,tiffanybenitez@example.org
C00294,30,Female,Joseph Young,"100,000+",Bangalore,No,Medium,alexandra07@example.org
C00295,41,Female,Elizabeth Jones,"25,000-49,999",Delhi,No,Medium,steven24@example.net
C00296,28,Male,Michael Johnson,"25,000-49,999",Chennai,Yes,Low,shannonlarson@example.org
C00297,79,Female,Emily Harrison,"<25,000",Mumbai,Yes,Low,bellzachary@example.net
C00298,80,Female,Rachel Young,"100,000+",Bangalore,No,High,leamber@example.net
C00299,75,Male,Louis Martin,"<25,000",Chennai,Yes,High,robertcantrell@example.org
